a,sigma,k,u_hat,delta,p_increase
1e-4,0.01,0.2,0.2,-7.88e-6,0.36
1.21111e-4,0.01,0.2,0.2,-9.51e-6,0.36
1.42222e-4,0.01,0.2,0.2,-1.11e-5,0.42
1.63333e-4,0.01,0.2,0.2,-1.27e-5,0.22
1.84444e-4,0.01,0.2,0.2,-1.43e-5,0.28
2.05556e-4,0.01,0.2,0.2,-1.59e-5,0.16
2.26667e-4,0.01,0.2,0.2,-1.75e-5,0.18
2.47778e-4,0.01,0.2,0.2,-1.91e-5,0.22
2.68889e-4,0.01,0.2,0.2,-2.07e-5,0.1
2.9e-4,0.01,0.2,0.2,-2.22e-5,0.14
3e-4,0.01,0.2,0.2,-2.29e-5,0.18
6e-4,0.01,0.2,0.2,-4.38e-5,0.2
9e-4,0.01,0.2,0.2,-6.25e-5,0.24
0.0012,0.01,0.2,0.2,-7.93e-5,0.28
0.0018,0.01,0.2,0.2,-1.07148e-4,0.38
0.0021,0.01,0.2,0.2,-1.18316e-4,0.36
0.003,0.01,0.2,0.2,-1.4155e-4,0.4
0.0033,0.01,0.2,0.2,-1.46072e-4,0.4
0.0042,0.01,0.2,0.2,-1.50803e-4,0.46
0.0045,0.01,0.2,0.2,-1.4963e-4,0.42
0.0054,0.01,0.2,0.2,-1.38657e-4,0.48
0.0057,0.01,0.2,0.2,-1.32698e-4,0.4
0.006,0.01,0.2,0.2,-1.25677e-4,0.44
0.0069,0.01,0.2,0.2,-9.88e-5,0.38
0.0072,0.01,0.2,0.2,-8.8e-5,0.52
0.0075,0.01,0.2,0.2,-7.64e-5,0.46
0.0084,0.01,0.2,0.2,-3.72e-5,0.46
0.0087,0.01,0.2,0.2,-2.28e-5,0.4
0.009,0.01,0.2,0.2,-7.84e-6,0.28
0.0099,0.01,0.2,0.2,4.04e-5,0.44
0.0102,0.01,0.2,0.2,5.74e-5,0.48
0.0105,0.01,0.2,0.2,7.48e-5,0.42
0.0114,0.01,0.2,0.2,1.29323e-4,0.42
0.0117,0.01,0.2,0.2,1.48113e-4,0.64
0.012,0.01,0.2,0.2,1.67168e-4,0.48
0.0123,0.01,0.2,0.2,1.86459e-4,0.36
0.0132,0.01,0.2,0.2,2.45504e-4,0.4
0.0135,0.01,0.2,0.2,2.65495e-4,0.58
0.0138,0.01,0.2,0.2,2.85603e-4,0.5
0.0141,0.01,0.2,0.2,3.05808e-4,0.4
0.015,0.01,0.2,0.2,3.66806e-4,0.38
0.0153,0.01,0.2,0.2,3.87205e-4,0.44
0.0156,0.01,0.2,0.2,4.0761e-4,0.56
0.0159,0.01,0.2,0.2,4.28004e-4,0.48
0.0168,0.01,0.2,0.2,4.88976e-4,0.44
0.0171,0.01,0.2,0.2,5.09185e-4,0.52
0.0174,0.01,0.2,0.2,5.29316e-4,0.44
0.0177,0.01,0.2,0.2,5.49358e-4,0.4
0.0186,0.01,0.2,0.2,6.08844e-4,0.54
0.0189,0.01,0.2,0.2,6.28427e-4,0.48
0.0192,0.01,0.2,0.2,6.47874e-4,0.44
0.0195,0.01,0.2,0.2,6.67175e-4,0.56
0.0204,0.01,0.2,0.2,7.24139e-4,0.44
0.0207,0.01,0.2,0.2,7.42792e-4,0.48
0.021,0.01,0.2,0.2,7.61269e-4,0.28
0.0213,0.01,0.2,0.2,7.79563e-4,0.54
0.0222,0.01,0.2,0.2,8.33313e-4,0.5
0.0225,0.01,0.2,0.2,8.50838e-4,0.56
0.0228,0.01,0.2,0.2,8.68162e-4,0.44
0.0231,0.01,0.2,0.2,8.85282e-4,0.48
0.024,0.01,0.2,0.2,9.35393e-4,0.5
0.0243,0.01,0.2,0.2,9.51674e-4,0.48
0.0246,0.01,0.2,0.2,9.67741e-4,0.5
0.0249,0.01,0.2,0.2,9.83593e-4,0.5
0.0258,0.01,0.2,0.2,0.00102985,0.34
0.0261,0.01,0.2,0.2,0.001044834,0.44
0.0264,0.01,0.2,0.2,0.001059601,0.46
0.0267,0.01,0.2,0.2,0.00107415,0.5
0.0276,0.01,0.2,0.2,0.001116494,0.6
0.0279,0.01,0.2,0.2,0.001130176,0.52
0.0282,0.01,0.2,0.2,0.001143643,0.52
0.0285,0.01,0.2,0.2,0.001156896,0.46
0.0294,0.01,0.2,0.2,0.001195382,0.58
0.0297,0.01,0.2,0.2,0.00120779,0.48
0.03,0.01,0.2,0.2,0.001219991,0.34
0.0303,0.01,0.2,0.2,0.001231986,0.52
0.104815385,0.01,0.2,0.2,0.001798919,0.52
0.129653846,0.01,0.2,0.2,0.001799889,0.7
0.154492308,0.01,0.2,0.2,0.001799989,0.42
0.179330769,0.01,0.2,0.2,0.001799999,0.4
0.253846154,0.01,0.2,0.2,0.0018,0.52
0.278684615,0.01,0.2,0.2,0.0018,0.54
0.303523077,0.01,0.2,0.2,0.0018,0.5
0.328361538,0.01,0.2,0.2,0.0018,0.46
0.402876923,0.01,0.2,0.2,0.0018,0.56
0.427715385,0.01,0.2,0.2,0.0018,0.48
0.452553846,0.01,0.2,0.2,0.0018,0.52
0.477392308,0.01,0.2,0.2,0.0018,0.48
0.551907692,0.01,0.2,0.2,0.0018,0.46
0.576746154,0.01,0.2,0.2,0.0018,0.32
0.601584615,0.01,0.2,0.2,0.0018,0.48
0.626423077,0.01,0.2,0.2,0.0018,0.48
0.700938462,0.01,0.2,0.2,0.0018,0.52
0.725776923,0.01,0.2,0.2,0.0018,0.36
0.750615385,0.01,0.2,0.2,0.0018,0.4
0.775453846,0.01,0.2,0.2,0.0018,0.5
0.849969231,0.01,0.2,0.2,0.0018,0.48
0.874807692,0.01,0.2,0.2,0.0018,0.44
0.899646154,0.01,0.2,0.2,0.0018,0.5
0.924484615,0.01,0.2,0.2,0.0018,0.64
0.949323077,0.01,0.2,0.2,0.0018,0.5
0.974161538,0.01,0.2,0.2,0.0018,0.5
0.999,0.01,0.2,0.2,0.0018,0.72
