generation, N
1,30000
2,30273
3,29522
4,30624
5,29359
6,30595
7,29977
8,30013
9,30643
10,29588
11,30511
12,29817
13,30593
14,29636
15,30578
16,29563
17,30766
18,29293
19,30490
20,29914
21,30221
22,30067
23,30191
24,29788
25,30308
26,29465
27,30719
28,29375
29,31457
30,28706
31,31234
32,28541
33,31845
34,28655
35,31495
36,28715
37,31360
38,29018
39,31090
40,28947
41,30858
42,29611
43,31050
44,29124
45,30745
46,29422
47,31185
48,29201
49,30938
50,29395
51,30674
52,29605
53,30474
54,30089
55,30651
56,29452
57,30701
58,29647
59,30823
60,29373
61,30766
62,29660
63,30417
64,29729
65,30130
66,30214
67,30612
68,29669
69,30187
70,29794
71,30526
72,29908
73,30105
74,30282
75,29910
76,30304
77,29788
78,30397
79,30113
80,29866
81,30517
82,29206
83,31150
84,29223
85,31084
86,29333
87,31033
88,29148
89,31063
90,29243
91,30982
92,28617
93,31373
94,28454
95,32218
96,27814
97,32625
98,27672
99,32652
100,27306
101,33321
102,27269
103,32651
104,27778
105,32286
106,28423
107,31618
108,28447
109,32027
110,28175
111,31974
112,28706
113,31518
114,28995
115,31560
116,28590
117,31636
118,28868
119,31355
120,28399
121,31938
122,27717
123,32522
124,28189
125,32054
126,28362
127,32093
128,28120
129,31724
130,28646
131,32141
132,28178
133,32231
134,28415
135,31823
136,28736
137,31763
138,28369
139,32259
140,28715
141,31516
142,28748
143,32094
144,27999
145,32237
146,28205
147,32251
148,28138
149,32637
150,27739
151,32533
152,27776
153,32977
154,27706
155,32548
156,27973
